movieId,score
as1,69
as10,68
as100,72
as1000,71
as1001,71
as1002,71
as1003,70
as1004,69
as1005,71
as1006,69
as1007,71
as1008,68
as1009,70
as101,70
as1010,72
as1011,68
as1012,70
as1013,72
as1014,69
as1015,71
as1016,70
as1017,71
as1018,71
as1019,69
as102,68
as1020,71
as1021,71
as1022,70
as1023,70
as1024,70
as1025,71
as1026,70
as1027,70
as1028,69
as1029,71
as103,71
as1030,71
as1031,70
as1032,69
as1033,70
as1034,71
as1035,70
as1036,71
as1037,70
as1038,72
as1039,71
as104,70
as1040,70
as1041,69
as1042,71
as1043,70
as1044,68
as1045,70
as1046,72
as1047,70
as1048,68
as1049,70
as105,71
as1050,71
as1051,70
as1052,70
as1053,70
as1054,70
as1055,72
as1056,70
as1057,71
as1058,70
as1059,70
as106,70
as1060,70
as1061,69
as1062,71
as1063,70
as1064,70
as1065,69
as1066,70
as1067,71
as1068,70
as1069,72
as107,71
as1070,69
as1071,70
as1072,71
as1073,72
as1074,70
as1075,70
as1076,70
as1077,69
as1078,70
as1079,71
as108,71
as1080,70
as1081,72
as1082,70
as1083,70
as1084,70
as1085,70
as1086,72
as1087,70
as1088,69
as1089,70
as109,71
as1090,69
as1091,69
as1092,70
as1093,71
as1094,70
as1095,71
as1096,69
as1097,70
as1098,71
as1099,71
as11,72
as110,69
as1100,72
as1101,71
as1102,69
as1103,69
as1104,71
as1105,70
as1106,69
as1107,70
as1108,70
as1109,70
as111,69
as1110,70
as1111,70
as1112,70
as1113,71
as1114,70
as1115,70
as1116,70
as1117,69
as1118,71
as1119,71
as112,71
as1120,70
as1121,71
as1122,69
as1123,69
as1124,70
as1125,70
as1126,68
as1127,71
as1128,72
as1129,71
as113,70
as1130,71
as1131,71
as1132,69
as1133,72
as1134,70
as1135,69
as1136,70
as1137,70
as1138,69
as1139,73
as114,70
as1140,70
as1141,72
as1142,70
as1143,70
as1144,69
as1145,70
as1146,72
as1147,70
as1148,69
as1149,69
as115,70
as1150,70
as1151,69
as1152,70
as1153,70
as1154,71
as1155,71
as1156,71
as1157,71
as1158,70
as1159,73
as116,72
as1160,70
as1161,70
as1162,69
as1163,69
as1164,71
as1165,71
as1166,70
as1167,68
as1168,70
as1169,69
as117,71
as1170,70
as1171,68
as1172,69
as1173,69
as1174,69
as1175,71
as1176,70
as1177,71
as1178,70
as1179,70
as118,69
as1180,71
as1181,73
as1182,70
as1183,71
as1184,71
as1185,70
as1186,69
as1187,70
as1188,69
as1189,69
as119,72
as1190,71
as1191,70
as1192,71
as1193,70
as1194,70
as1195,72
as1196,70
as1197,70
as1198,71
as1199,71
as12,71
as120,68
as1200,69
as1201,69
as1202,69
as1203,71
as1204,69
as1205,70
as1206,69
as1207,69
as1208,72
as1209,70
as121,70
as1210,71
as1211,69
as1212,71
as1213,70
as1214,71
as1215,71
as1216,70
as1217,69
as1218,70
as1219,69
as122,70
as1220,71
as1221,69
as1222,69
as1223,70
as1224,72
as1225,70
as1226,70
as1227,69
as1228,70
as1229,71
as123,68
as1230,70
as1231,70
as1232,70
as1233,69
as1234,71
as1235,69
as1236,71
as1237,69
as1238,70
as1239,71
as124,68
as1240,70
as1241,69
as1242,70
as1243,71
as1244,71
as1245,70
as1246,70
as1247,68
as1248,70
as1249,68
as125,70
as1250,70
as1251,69
as1252,71
as1253,70
as1254,71
as1255,69
as1256,69
as1257,72
as1258,72
as1259,68
as126,70
as1260,72
as1261,70
as1262,69
as1263,71
as1264,71
as1265,72
as1266,70
as1267,70
as1268,71
as1269,68
as127,72
as1270,71
as1271,71
as1272,69
as1273,71
as1274,71
as1275,70
as1276,73
as1277,69
as1278,71
as1279,71
as128,70
as1280,70
as1281,70
as1282,71
as1283,71
as1284,72
as1285,70
as1286,68
as1287,68
as1288,70
as1289,69
as129,70
as1290,70
as1291,71
as1292,71
as1293,70
as1294,71
as1295,72
as1296,69
as1297,69
as1298,70
as1299,70
as13,70
as130,69
as1300,69
as1301,70
as1302,70
as1303,69
as1304,72
as1305,70
as1306,71
as1307,71
as1308,69
as1309,70
as131,71
as1310,71
as1311,70
as1312,69
as1313,69
as1314,70
as1315,70
as1316,69
as1317,69
as1318,71
as1319,69
as132,71
as1320,69
as1321,70
as1322,71
as1323,71
as1324,69
as1325,71
as1326,70
as1327,68
as1328,70
as1329,71
as133,69
as1330,69
as1331,71
as1332,70
as1333,70
as1334,70
as1335,68
as1336,71
as1337,72
as1338,68
as1339,68
as134,69
as1340,71
as1341,70
as1342,70
as1343,69
as1344,70
as1345,70
as1346,71
as1347,70
as1348,72
as1349,70
as135,69
as1350,69
as1351,72
as1352,72
as1353,72
as1354,71
as1355,71
as1356,69
as1357,70
as1358,71
as1359,71
as136,70
as1360,72
as1361,68
as1362,70
as1363,71
as1364,70
as1365,70
as1366,70
as1367,71
as1368,72
as1369,70
as137,71
as1370,71
as1371,70
as1372,71
as1373,69
as1374,71
as1375,71
as1376,70
as1377,69
as1378,70
as1379,70
as138,68
as1380,69
as1381,70
as1382,71
as1383,70
as1384,70
as1385,71
as1386,70
as1387,70
as1388,72
as1389,71
as139,73
as1390,71
as1391,69
as1392,70
as1393,69
as1394,71
as1395,71
as1396,70
as1397,70
as1398,71
as1399,71
as14,71
as140,73
as1400,69
